ID,Name,TWA,TWA New Level
1,Accessing Functionality Not Properly Constrained by ACLs,Extrinsic-M or Extrinsic-U,Low
2,Inducing Account Lockout,Extrinsic-A or Extrinsic-O,Low
3,Using Leading 'Ghost' Character Sequences to Bypass Input Filters,Extrinsic-M or Extrinsic-U,Medium
4,Using Alternative IP Address Encodings,Extrinsic-M or Extrinsic-U,Medium
5,Blue Boxing,Extrinsic-M or Extrinsic-U,Medium
6,Argument Injection,Extrinsic-M or Extrinsic-U,Low
7,Blind SQL Injection,Extrinsic-QI,Low
8,Buffer Overflow in an API Call,Extrinsic-M or Extrinsic-U,Low
9,Buffer Overflow in Local Command-Line Utilities,Extrinsic-M or Extrinsic-U,Low
10,Buffer Overflow via Environment Variables,Extrinsic-M or Extrinsic-U,Low
11,Cause Web Server Misclassification,Extrinsic-M or Extrinsic-U,Medium
12,Choosing Message Identifier,Extrinsic-M or Extrinsic-U,Low
13,Subverting Environment Variable Values,Extrinsic-M or Extrinsic-U,Low
14,Client-side Injection-induced Buffer Overflow,Extrinsic-M or Extrinsic-U,Medium
15,Command Delimiters,Extrinsic-M or Extrinsic-U,Low
16,Dictionary-based Password Attack,Extrinsic-M or Extrinsic-U,Medium
17,Using Malicious Files,Extrinsic-M or Extrinsic-U,Low
18,XSS Targeting Non-Script Elements,Extrinsic-XS,Low
19,Embedding Scripts within Scripts,Extrinsic-M or Extrinsic-U,Low
20,Encryption Brute Forcing,Extrinsic-C,High
21,Exploitation of Trusted Identifiers,Extrinsic-M or Extrinsic-U,Low
22,Exploiting Trust in Client,Extrinsic-M or Extrinsic-U,Low
23,File Content Injection,Extrinsic-M or Extrinsic-U,Low
24,Filter Failure through Buffer Overflow,Extrinsic-M or Extrinsic-U,Low
25,Forced Deadlock,Extrinsic-A or Extrinsic-O,High
26,Leveraging Race Conditions,Extrinsic-M or Extrinsic-U,Low
27,Leveraging Race Conditions via Symbolic Links,Extrinsic-M or Extrinsic-U,Medium
28,Fuzzing,Extrinsic-M or Extrinsic-U,Low
29,Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions,Extrinsic-M or Extrinsic-U,Low
30,Hijacking a Privileged Thread of Execution,Extrinsic-M or Extrinsic-U,High
31,Accessing/Intercepting/Modifying HTTP Cookies,Extrinsic-M or Extrinsic-U,Low
32,XSS Through HTTP Query Strings,Extrinsic-XS,Low
33,HTTP Request Smuggling,Extrinsic-M or Extrinsic-U,Medium
34,HTTP Response Splitting,Extrinsic-M or Extrinsic-U,Medium
35,Leverage Executable Code in Non-Executable Files,Extrinsic-M or Extrinsic-U,Low
36,Using Unpublished Interfaces,Extrinsic-M or Extrinsic-U,Medium
37,Retrieve Embedded Sensitive Data,Extrinsic-M or Extrinsic-U,Low
38,Leveraging/Manipulating Configuration File Search Paths,Extrinsic-M or Extrinsic-U,Low
39,Manipulating Opaque Client-based Data Tokens,Extrinsic-M or Extrinsic-U,Low
40,Manipulating Writeable Terminal Devices,Extrinsic-M or Extrinsic-U,Low
41,Using Meta-characters in E-mail Headers to Inject Malicious Payloads,Extrinsic-M or Extrinsic-U,Low
42,MIME Conversion,Extrinsic-M or Extrinsic-U,Low
43,Exploiting Multiple Input Interpretation Layers,Extrinsic-M or Extrinsic-U,Medium
44,Overflow Binary Resource File,Extrinsic-M or Extrinsic-U,Low
45,Buffer Overflow via Symbolic Links,Extrinsic-M or Extrinsic-U,Low
46,Overflow Variables and Tags,Extrinsic-M or Extrinsic-U,Low
47,Buffer Overflow via Parameter Expansion,Extrinsic-M or Extrinsic-U,Medium
48,Passing Local Filenames to Functions That Expect a URL,"Extrinsic-C,Extrinsic-I",Low
49,Password Brute Forcing,Extrinsic-M or Extrinsic-U,Medium
50,Password Recovery Exploitation,Extrinsic-M or Extrinsic-U,Medium
51,Poison Web Service Registry,Extrinsic-M or Extrinsic-U,Low
52,Embedding NULL Bytes,Extrinsic-M or Extrinsic-U,Low
53,"Postfix, Null Terminate, and Backslash",Extrinsic-M or Extrinsic-U,Low
54,Query System for Information,Extrinsic-C,Low
55,Rainbow Table Password Cracking,Extrinsic-M or Extrinsic-U,Medium
56,DEPRECATED: Removing/short-circuiting 'guard logic',??,??
57,Utilizing REST's Trust in the System Resource to Obtain Sensitive Data,Extrinsic-M or Extrinsic-U,Medium
58,Restful Privilege Elevation,Extrinsic-M or Extrinsic-U,Low
59,Session Credential Falsification through Prediction,Extrinsic-M or Extrinsic-U,Low
60,Reusing Session IDs (aka Session Replay),Extrinsic-M or Extrinsic-U,Low
61,Session Fixation,Extrinsic-M or Extrinsic-U,Medium
62,Cross Site Request Forgery,Extrinsic-XS,Low
63,Cross-Site Scripting (XSS),Extrinsic-XS,Low
64,Using Slashes and URL Encoding Combined to Bypass Validation Logic,Extrinsic-M or Extrinsic-U,Low
65,Sniff Application Code,Extrinsic-M or Extrinsic-U,High
66,SQL Injection,Extrinsic-QI,Low
67,String Format Overflow in syslog(),Extrinsic-M or Extrinsic-U,Low
68,Subvert Code-signing Facilities,Extrinsic-M or Extrinsic-U,High
69,Target Programs with Elevated Privileges,Extrinsic-M or Extrinsic-U,Low
70,Try Common or Default Usernames and Passwords,Extrinsic-M or Extrinsic-U,Medium
71,Using Unicode Encoding to Bypass Validation Logic,Extrinsic-M or Extrinsic-U,Medium
72,URL Encoding,Extrinsic-M or Extrinsic-U,Low
73,User-Controlled Filename,Extrinsic-XS,Low
74,Manipulating State,Extrinsic-M or Extrinsic-U,Medium
75,Manipulating Writeable Configuration Files,Extrinsic-M or Extrinsic-U,Low
76,Manipulating Web Input to File System Calls,Extrinsic-M or Extrinsic-U,Low
77,Manipulating User-Controlled Variables,Extrinsic-M or Extrinsic-U,Low
78,Using Escaped Slashes in Alternate Encoding,Extrinsic-M or Extrinsic-U,Low
79,Using Slashes in Alternate Encoding,Extrinsic-M or Extrinsic-U,Low
80,Using UTF-8 Encoding to Bypass Validation Logic,Extrinsic-M or Extrinsic-U,Low
81,Web Logs Tampering,Extrinsic-I,Medium
82,DEPRECATED: Violating Implicit Assumptions Regarding XML Content (aka XML Denial of Service (XDoS)),??,??
83,XPath Injection,Extrinsic-M or Extrinsic-U,Low
84,XQuery Injection,Extrinsic-QI,Low
85,AJAX Footprinting,Extrinsic-XS,Low
86,XSS Through HTTP Headers,Extrinsic-XS,Low
87,Forceful Browsing,Extrinsic-M or Extrinsic-U,Low
88,OS Command Injection,Extrinsic-M or Extrinsic-U,Low
89,Pharming,Extrinsic-C,Low
