ID,Name,TWA,TWA New Level
5,J2EE Misconfiguration: Data Transmission Without Encryption,"Extrinsic-C,Extrinsic-I",??
6,J2EE Misconfiguration: Insufficient Session-ID Length,Extrinsic-M or Extrinsic-U,??
7,J2EE Misconfiguration: Missing Custom Error Page,Extrinsic-C,??
8,J2EE Misconfiguration: Entity Bean Declared Remote,"Extrinsic-C,Extrinsic-I",??
9,J2EE Misconfiguration: Weak Access Permissions for EJB Methods,??,??
11,ASP.NET Misconfiguration: Creating Debug Binary,Extrinsic-C,??
12,ASP.NET Misconfiguration: Missing Custom Error Page,Extrinsic-C,??
13,ASP.NET Misconfiguration: Password in Configuration File,Extrinsic-M or Extrinsic-U,??
14,Compiler Removal of Code to Clear Buffers,Extrinsic-M or Extrinsic-U,??
15,External Control of System or Configuration Setting,??,??
20,Improper Input Validation,Extrinsic-M or Extrinsic-U,Low
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Extrinsic-M or Extrinsic-U,Low
23,Relative Path Traversal,Extrinsic-M or Extrinsic-U,??
24,Path Traversal: '../filedir',"Extrinsic-C,Extrinsic-I",??
25,Path Traversal: '/../filedir',"Extrinsic-C,Extrinsic-I",??
26,Path Traversal: '/dir/../filename',"Extrinsic-C,Extrinsic-I",??
27,Path Traversal: 'dir/../../filename',"Extrinsic-C,Extrinsic-I",??
28,Path Traversal: '..\filedir',"Extrinsic-C,Extrinsic-I",??
29,Path Traversal: '\..\filename',"Extrinsic-C,Extrinsic-I",??
30,Path Traversal: '\dir\..\filename',"Extrinsic-C,Extrinsic-I",??
31,Path Traversal: 'dir\..\..\filename',"Extrinsic-C,Extrinsic-I",??
32,Path Traversal: '...' (Triple Dot),"Extrinsic-C,Extrinsic-I",??
33,Path Traversal: '....' (Multiple Dot),"Extrinsic-C,Extrinsic-I",??
34,Path Traversal: '....//',"Extrinsic-C,Extrinsic-I",??
35,Path Traversal: '.../...//',"Extrinsic-C,Extrinsic-I",??
36,Absolute Path Traversal,Extrinsic-M or Extrinsic-U,??
37,Path Traversal: '/absolute/pathname/here',"Extrinsic-C,Extrinsic-I",??
38,Path Traversal: '\absolute\pathname\here',"Extrinsic-C,Extrinsic-I",??
39,Path Traversal: 'C:dirname',Extrinsic-M or Extrinsic-U,??
40,Path Traversal: '\\UNC\share\name\' (Windows UNC Share),"Extrinsic-C,Extrinsic-I",??
41,Improper Resolution of Path Equivalence,Extrinsic-M or Extrinsic-U,??
42,Path Equivalence: 'filename.' (Trailing Dot),Extrinsic-M or Extrinsic-U,??
43,Path Equivalence: 'filename....' (Multiple Trailing Dot),"Extrinsic-C,Extrinsic-I",??
44,Path Equivalence: 'file.name' (Internal Dot),"Extrinsic-C,Extrinsic-I",??
45,Path Equivalence: 'file...name' (Multiple Internal Dot),"Extrinsic-C,Extrinsic-I",??
46,Path Equivalence: 'filename ' (Trailing Space),"Extrinsic-C,Extrinsic-I",??
47,Path Equivalence: ' filename' (Leading Space),"Extrinsic-C,Extrinsic-I",??
48,Path Equivalence: 'file name' (Internal Whitespace),"Extrinsic-C,Extrinsic-I",??
49,Path Equivalence: 'filename/' (Trailing Slash),"Extrinsic-C,Extrinsic-I",??
50,Path Equivalence: '//multiple/leading/slash',"Extrinsic-C,Extrinsic-I",??
51,Path Equivalence: '/multiple//internal/slash',"Extrinsic-C,Extrinsic-I",??
52,Path Equivalence: '/multiple/trailing/slash//',"Extrinsic-C,Extrinsic-I",??
53,Path Equivalence: '\multiple\\internal\backslash',"Extrinsic-C,Extrinsic-I",??
54,Path Equivalence: 'filedir\' (Trailing Backslash),"Extrinsic-C,Extrinsic-I",??
55,Path Equivalence: '/./' (Single Dot Directory),"Extrinsic-C,Extrinsic-I",??
56,Path Equivalence: 'filedir*' (Wildcard),"Extrinsic-C,Extrinsic-I",??
57,Path Equivalence: 'fakedir/../realdir/filename',"Extrinsic-C,Extrinsic-I",??
58,Path Equivalence: Windows 8.3 Filename,"Extrinsic-C,Extrinsic-I",??
59,Improper Link Resolution Before File Access ('Link Following'),Extrinsic-M or Extrinsic-U,Medium
61,UNIX Symbolic Link (Symlink) Following,"Extrinsic-C,Extrinsic-I",Low
62,UNIX Hard Link,"Extrinsic-C,Extrinsic-I",??
64,Windows Shortcut Following (.LNK),"Extrinsic-C,Extrinsic-I",High
65,Windows Hard Link,"Extrinsic-C,Extrinsic-I",??
66,Improper Handling of File Names that Identify Virtual Resources,??,??
67,Improper Handling of Windows Device Names,"Extrinsic-C,Extrinsic-A or Extrinsic-O",Low
69,Improper Handling of Windows ::DATA Alternate Data Stream,Extrinsic-M or Extrinsic-U,??
71,DEPRECATED: Apple '.DS_Store',??,??
72,Improper Handling of Apple HFS+ Alternate Data Stream Path,"Extrinsic-C,Extrinsic-I",??
73,External Control of File Name or Path,Extrinsic-M or Extrinsic-U,Low
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Extrinsic-QI,Low
75,Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),Extrinsic-M or Extrinsic-U,??
76,Improper Neutralization of Equivalent Special Elements,??,??
77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),Extrinsic-QI,Low
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Extrinsic-QI,Low
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Extrinsic-XS,Low
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Extrinsic-XS,Low
81,Improper Neutralization of Script in an Error Message Web Page,Extrinsic-M or Extrinsic-U,??
82,Improper Neutralization of Script in Attributes of IMG Tags in a Web Page,Extrinsic-M or Extrinsic-U,??
83,Improper Neutralization of Script in Attributes in a Web Page,Extrinsic-M or Extrinsic-U,??
84,Improper Neutralization of Encoded URI Schemes in a Web Page,Extrinsic-I,??
85,Doubled Character XSS Manipulations,Extrinsic-XS,??
86,Improper Neutralization of Invalid Characters in Identifiers in Web Pages,Extrinsic-M or Extrinsic-U,??
87,Improper Neutralization of Alternate XSS Syntax,Extrinsic-XS,??
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Extrinsic-M or Extrinsic-U,??
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Extrinsic-QI,Low
90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),Extrinsic-QI,??
91,XML Injection (aka Blind XPath Injection),Extrinsic-M or Extrinsic-U,??
92,DEPRECATED: Improper Sanitization of Custom Special Characters,??,??
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),Extrinsic-I,??
94,Improper Control of Generation of Code ('Code Injection'),Extrinsic-M or Extrinsic-U,Medium
95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),Extrinsic-M or Extrinsic-U,Medium
96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),Extrinsic-M or Extrinsic-U,??
97,Improper Neutralization of Server-Side Includes (SSI) Within a Web Page,Extrinsic-M or Extrinsic-U,??
98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),Extrinsic-M or Extrinsic-U,Low
99,Improper Control of Resource Identifiers ('Resource Injection'),"Extrinsic-C,Extrinsic-I",Low
102,Struts: Duplicate Validation Forms,Extrinsic-I,??
103,Struts: Incomplete validate() Method Definition,Extrinsic-M or Extrinsic-U,??
104,Struts: Form Bean Does Not Extend Validation Class,Extrinsic-M or Extrinsic-U,??
105,Struts: Form Field Without Validator,Extrinsic-I,??
